CodigoEstacion,NombreEstacion,Latitud,Longitud,Altitud,Categoria,Entidad,AreaOperativa,Departamento,Municipio,FechaInstalacion,FechaSuspension,IdParametro,Etiqueta,DescripcionSerie,Frecuencia,Fecha,Valor,Grado,Calificador,NivelAprobacion
36017010,PAZ DE ARIPORO [36017010],5.9065555560,-71.90238889,274,Limnimétrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 06 - Boyacá-Casanare-Vichada,Casanare,Hato Corozal,15/05/1993 00:00,,CAUDAL,Q_MEDIA_D,Caudal medio diario,Diaria,1996-05-30 00:00,27.6,4,EST. OTROS METODOS,900
36017010,PAZ DE ARIPORO [36017010],5.9065555560,-71.90238889,274,Limnimétrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 06 - Boyacá-Casanare-Vichada,Casanare,Hato Corozal,15/05/1993 00:00,,CAUDAL,Q_MEDIA_D,Caudal medio diario,Diaria,1996-05-31 00:00,39.9,4,EST. OTROS METODOS,900
36017010,PAZ DE ARIPORO [36017010],5.9065555560,-71.90238889,274,Limnimétrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 06 - Boyacá-Casanare-Vichada,Casanare,Hato Corozal,15/05/1993 00:00,,CAUDAL,Q_MEDIA_D,Caudal medio diario,Diaria,1996-06-01 00:00,27.6,4,EST. OTROS METODOS,900
36017010,PAZ DE ARIPORO [36017010],5.9065555560,-71.90238889,274,Limnimétrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 06 - Boyacá-Casanare-Vichada,Casanare,Hato Corozal,15/05/1993 00:00,,CAUDAL,Q_MEDIA_D,Caudal medio diario,Diaria,1996-06-02 00:00,42.1,4,EST. OTROS METODOS,900
36017010,PAZ DE ARIPORO [36017010],5.9065555560,-71.90238889,274,Limnimétrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 06 - Boyacá-Casanare-Vichada,Casanare,Hato Corozal,15/05/1993 00:00,,CAUDAL,Q_MEDIA_D,Caudal medio diario,Diaria,1996-06-03 00:00,49.5,4,EST. OTROS METODOS,900
36017010,PAZ DE ARIPORO [36017010],5.9065555560,-71.90238889,274,Limnimétrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 06 - Boyacá-Casanare-Vichada,Casanare,Hato Corozal,15/05/1993 00:00,,CAUDAL,Q_MEDIA_D,Caudal medio diario,Diaria,1996-06-04 00:00,48.7,4,EST. OTROS METODOS,900
36017010,PAZ DE ARIPORO [36017010],5.9065555560,-71.90238889,274,Limnimétrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 06 - Boyacá-Casanare-Vichada,Casanare,Hato Corozal,15/05/1993 00:00,,CAUDAL,Q_MEDIA_D,Caudal medio diario,Diaria,1996-06-05 00:00,46.5,4,EST. OTROS METODOS,900
36017010,PAZ DE ARIPORO [36017010],5.9065555560,-71.90238889,274,Limnimétrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 06 - Boyacá-Casanare-Vichada,Casanare,Hato Corozal,15/05/1993 00:00,,CAUDAL,Q_MEDIA_D,Caudal medio diario,Diaria,1996-06-06 00:00,36.2,4,EST. OTROS METODOS,900
36017010,PAZ DE ARIPORO [36017010],5.9065555560,-71.90238889,274,Limnimétrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 06 - Boyacá-Casanare-Vichada,Casanare,Hato Corozal,15/05/1993 00:00,,CAUDAL,Q_MEDIA_D,Caudal medio diario,Diaria,1996-06-07 00:00,31.2,4,EST. OTROS METODOS,900
36017010,PAZ DE ARIPORO [36017010],5.9065555560,-71.90238889,274,Limnimétrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 06 - Boyacá-Casanare-Vichada,Casanare,Hato Corozal,15/05/1993 00:00,,CAUDAL,Q_MEDIA_D,Caudal medio diario,Diaria,1996-06-08 00:00,26.1,4,EST. OTROS METODOS,900
